City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,bethel,41.3712,-73.414,28.92,54,40,4.12,US,1724609352
1,olonkinbyen,70.9221,-8.7187,3.4,96,100,11.56,SJ,1724609366
2,cabedelo,-6.9811,-34.8339,28.37,71,38,8.54,BR,1724609094
3,arar,30.9753,41.0381,38.01,13,0,0.0,SA,1724609369
4,rafah,31.287,34.2595,28.38,67,0,4.19,PS,1724609370
5,badger,64.8,-147.5333,7.93,82,75,2.06,US,1724609371
6,dali,25.7,100.1833,17.21,87,5,0.39,CN,1724609372
7,guerrero negro,27.9769,-114.0611,24.54,57,0,6.24,MX,1724609373
8,port-aux-francais,-49.35,70.2167,4.44,74,81,13.68,TF,1724609375
9,grytviken,-54.2811,-36.5092,-2.13,66,7,2.87,GS,1724609376
10,bilibino,68.0546,166.4372,5.21,80,98,1.5,RU,1724609377
11,adamstown,-25.066,-130.1015,20.82,76,100,9.14,PN,1724609378
12,port elizabeth,-33.918,25.5701,16.29,88,29,3.13,ZA,1724609379
13,oranjemund,-28.55,16.4333,13.07,78,0,2.67,NA,1724609380
14,st. john's,47.5649,-52.7093,27.38,55,4,1.34,CA,1724609382
15,puerto natales,-51.7236,-72.4875,6.25,75,75,1.54,CL,1724609383
16,keflavik,64.0049,-22.5624,9.24,71,75,8.23,IS,1724609384
17,tiksi,71.6872,128.8694,3.0,94,100,5.14,RU,1724609385
18,mugia,43.1041,-9.2179,19.39,69,7,10.22,ES,1724609387
19,waitangi,-43.9535,-176.5597,11.57,94,96,4.02,NZ,1724609388
20,puerto ayora,-0.7393,-90.3518,21.42,88,56,2.24,EC,1724609389
21,arteche,12.2645,125.4048,24.75,93,100,2.65,PH,1724609390
22,bossangoa,6.4926,17.4552,21.57,98,56,1.83,CF,1724609391
23,saint-pierre,-21.3393,55.4781,19.82,60,75,9.77,RE,1724609392
24,mahibadhoo,3.7833,72.9667,28.04,74,100,3.38,MV,1724609394
25,udachny,66.4167,112.4,9.49,87,100,3.07,RU,1724609396
26,mount pearl,47.5166,-52.7813,26.92,55,5,3.13,CA,1724609397
27,alofi,-19.0595,-169.9187,22.94,94,100,5.66,NU,1724609398
28,invercargill,-46.4,168.35,1.12,96,85,0.89,NZ,1724609400
29,margaret river,-33.95,115.0667,16.05,78,83,8.66,AU,1724609402
30,strezhevoy,60.7333,77.5889,12.54,90,99,3.52,RU,1724609404
31,edinburgh of the seven seas,-37.0676,-12.3116,11.5,73,91,9.82,SH,1724609405
32,puerto madero,14.7208,-92.4215,32.11,66,75,0.0,MX,1724609409
33,blackmans bay,-43.0167,147.3167,10.07,84,97,0.89,AU,1724609410
34,verdal,63.7933,11.4817,12.31,86,89,1.12,NO,1724609411
35,utrik,11.2278,169.8474,28.48,79,64,7.33,MH,1724609412
36,arraial do cabo,-22.9661,-42.0278,20.92,83,100,5.14,BR,1724609320
37,ushuaia,-54.8,-68.3,8.81,61,40,4.12,AR,1724609415
38,nazyvayevsk,55.5698,71.3529,11.26,96,88,4.9,RU,1724609416
39,hermanus,-34.4187,19.2345,12.67,74,93,6.08,ZA,1724609417
40,papatowai,-46.5619,169.4708,3.21,88,43,1.53,NZ,1724609418
41,xinyu,27.8043,114.9334,27.41,83,22,0.96,CN,1724609420
42,vila velha,-20.3297,-40.2925,28.97,74,0,4.63,BR,1724609421
43,regina,50.4501,-104.6178,22.8,37,25,8.94,CA,1724609229
44,pudozh,61.8099,36.5345,15.47,76,0,2.43,RU,1724609341
45,college,64.8569,-147.8028,8.98,85,75,2.06,US,1724609424
46,nabire,-3.3667,135.4833,24.27,93,100,1.0,ID,1724609426
47,fortuna,40.5982,-124.1573,20.52,70,0,0.89,US,1724609427
48,kyzylorda,44.8528,65.5092,19.74,29,3,3.04,KZ,1724609428
49,dudinka,69.4058,86.1778,10.34,83,50,0.68,RU,1724609429
50,fale old settlement,-9.3852,-171.2468,27.79,79,15,8.55,TK,1724609430
51,pasuquin,18.3328,120.6177,25.97,94,75,2.06,PH,1724609431
52,port blair,11.6667,92.75,28.07,78,100,4.51,IN,1724609433
53,la ronge,55.1001,-105.2842,14.12,94,100,6.17,CA,1724609434
